epoch,loss,mae,mse
0,5886.179812952613,64.83208,5886.18
1,5870.246225352252,65.052505,5870.247
2,5863.20935581313,65.14985,5863.209
3,5878.7182807826275,64.672905,5878.7188
4,5877.148717923488,65.36207,5877.1484
5,5909.59375,64.725555,5909.5933
6,5892.1615891156325,64.81848,5892.1616
7,5888.630683495356,65.66444,5888.6304
8,5884.835871698874,64.57586,5884.8364
9,5868.877119165223,65.208374,5868.8765
